Sort method;Array type;Amount;Time;Operations
mergeSort;almostSorted;150;71316;13109
quickSort;almostSorted;150;4186;2466
selectionSort;almostSorted;150;50723;34571
shellSortCiuraSequence;almostSorted;150;4570;3468
shellSortShellSequence;almostSorted;150;7680;4551
binaryInsertionSort;backwardSorted;150;18053;1046
bubbleSort;backwardSorted;150;53596;67649
bubbleSortIverson1;backwardSorted;150;883;905
bubbleSortIverson2;backwardSorted;150;1880;1802
countingSort;backwardSorted;150;32390;13057
heapSort;backwardSorted;150;29010;16403
insertionSort;backwardSorted;150;1246;1344
mergeSort;backwardSorted;150;65743;13109
quickSort;backwardSorted;150;3920;2466
selectionSort;backwardSorted;150;49513;34571
shellSortCiuraSequence;backwardSorted;150;4420;3468
shellSortShellSequence;backwardSorted;150;6653;4551
binaryInsertionSort;fill0To5;200;46106;17032
bubbleSort;fill0To5;200;93980;120199
bubbleSortIverson1;fill0To5;200;1236;1205
bubbleSortIverson2;fill0To5;200;2016;2402
countingSort;fill0To5;200;5496;1019
heapSort;fill0To5;200;29860;17425
insertionSort;fill0To5;200;1643;1794
mergeSort;fill0To5;200;92556;18292
quickSort;fill0To5;200;10683;4320
selectionSort;fill0To5;200;81756;61096
shellSortCiuraSequence;fill0To5;200;5860;4968
shellSortShellSequence;fill0To5;200;8856;6046
binaryInsertionSort;fill0To4000;200;25200;1416
bubbleSort;fill0To4000;200;87266;120199
bubbleSortIverson1;fill0To4000;200;913;1205
bubbleSortIverson2;fill0To4000;200;2030;2402
countingSort;fill0To4000;200;33586;12974
heapSort;fill0To4000;200;52823;22980
insertionSort;fill0To4000;200;2106;1794
mergeSort;fill0To4000;200;95100;18292
quickSort;fill0To4000;200;8730;3594
selectionSort;fill0To4000;200;129840;61096
shellSortCiuraSequence;fill0To4000;200;8570;4968
shellSortShellSequence;fill0To4000;200;13636;6046
binaryInsertionSort;almostSorted;200;35553;1396
bubbleSort;almostSorted;200;131520;120199
bubbleSortIverson1;almostSorted;200;1526;1205
bubbleSortIverson2;almostSorted;200;1800;2402
countingSort;almostSorted;200;7333;1607
heapSort;almostSorted;200;58193;23058
insertionSort;almostSorted;200;2116;1794
mergeSort;almostSorted;200;134303;18292
quickSort;almostSorted;200;12160;3576
selectionSort;almostSorted;200;124800;61096
shellSortCiuraSequence;almostSorted;200;6756;4968
shellSortShellSequence;almostSorted;200;15250;6046
binaryInsertionSort;backwardSorted;200;30633;1396
bubbleSort;backwardSorted;200;129860;120199
bubbleSortIverson1;backwardSorted;200;900;1205
bubbleSortIverson2;backwardSorted;200;1750;2402
countingSort;backwardSorted;200;31910;13307
heapSort;backwardSorted;200;42850;23058
insertionSort;backwardSorted;200;2860;1794
mergeSort;backwardSorted;200;96016;18292
quickSort;backwardSorted;200;5630;3576
selectionSort;backwardSorted;200;82313;61096
shellSortCiuraSequence;backwardSorted;200;6893;4968
shellSortShellSequence;backwardSorted;200;9153;6046
binaryInsertionSort;fill0To5;250;65750;26382
bubbleSort;fill0To5;250;143670;187749
bubbleSortIverson1;fill0To5;250;1456;1505
bubbleSortIverson2;fill0To5;250;2580;3002
countingSort;fill0To5;250;6830;1269
heapSort;fill0To5;250;45533;22550
insertionSort;fill0To5;250;2183;2244
mergeSort;fill0To5;250;116580;23441
quickSort;fill0To5;250;12863;5306
selectionSort;fill0To5;250;128923;95121
shellSortCiuraSequence;fill0To5;250;7943;6468
shellSortShellSequence;fill0To5;250;10516;7561
binaryInsertionSort;fill0To4000;250;31673;1782
bubbleSort;fill0To4000;250;136286;187749
bubbleSortIverson1;fill0To4000;250;1103;1505
bubbleSortIverson2;fill0To4000;250;2166;3002
countingSort;fill0To4000;250;34706;13224
heapSort;fill0To4000;250;52103;29727
insertionSort;fill0To4000;250;1720;2244
mergeSort;fill0To4000;250;109253;23441
quickSort;fill0To4000;250;6823;4384
selectionSort;fill0To4000;250;150496;95121
shellSortCiuraSequence;fill0To4000;250;7880;6468
shellSortShellSequence;fill0To4000;250;10513;7561
binaryInsertionSort;almostSorted;250;30736;1746
bubbleSort;almostSorted;250;136033;187749
bubbleSortIverson1;almostSorted;250;1100;1505
bubbleSortIverson2;almostSorted;250;2716;3002
countingSort;almostSorted;250;8086;2007
heapSort;almostSorted;250;50823;29833
insertionSort;almostSorted;250;1733;2244
mergeSort;almostSorted;250;108006;23441
quickSort;almostSorted;250;7826;4276
selectionSort;almostSorted;250;147063;95121
shellSortCiuraSequence;almostSorted;250;8190;6468
shellSortShellSequence;almostSorted;250;10520;7561
binaryInsertionSort;backwardSorted;250;34886;1746
bubbleSort;backwardSorted;250;144636;187749
bubbleSortIverson1;backwardSorted;250;1656;1505
bubbleSortIverson2;backwardSorted;250;2173;3002
countingSort;backwardSorted;250;48423;13557
heapSort;backwardSorted;250;58570;29833
insertionSort;backwardSorted;250;2083;2244
mergeSort;backwardSorted;250;114910;23441
quickSort;backwardSorted;250;7466;4276
selectionSort;backwardSorted;250;140176;95121
shellSortCiuraSequence;backwardSorted;250;8836;6468
shellSortShellSequence;backwardSorted;250;11253;7561
binaryInsertionSort;fill0To5;300;88700;37908
bubbleSort;fill0To5;300;203203;270299
bubbleSortIverson1;fill0To5;300;1710;1805
bubbleSortIverson2;fill0To5;300;3356;3602
countingSort;fill0To5;300;10526;1519
heapSort;fill0To5;300;52973;27690
insertionSort;fill0To5;300;2080;2694
mergeSort;fill0To5;300;140243;29084
quickSort;fill0To5;300;17593;6848
selectionSort;fill0To5;300;250156;136646
shellSortCiuraSequence;fill0To5;300;15146;7968
shellSortShellSequence;fill0To5;300;25426;10555
binaryInsertionSort;fill0To4000;300;56040;2148
bubbleSort;fill0To4000;300;210363;270299
bubbleSortIverson1;fill0To4000;300;2353;1805
bubbleSortIverson2;fill0To4000;300;4533;3602
countingSort;fill0To4000;300;60656;13474
heapSort;fill0To4000;300;73803;37172
insertionSort;fill0To4000;300;2606;2694
mergeSort;fill0To4000;300;142270;29084
quickSort;fill0To4000;300;10340;5644
selectionSort;fill0To4000;300;188306;136646
shellSortCiuraSequence;fill0To4000;300;10083;7968
shellSortShellSequence;fill0To4000;300;16230;10555
binaryInsertionSort;almostSorted;300;39780;2096
bubbleSort;almostSorted;300;194966;270299
bubbleSortIverson1;almostSorted;300;1566;1805
bubbleSortIverson2;almostSorted;300;2593;3602
countingSort;almostSorted;300;9796;2407
heapSort;almostSorted;300;63643;37143
insertionSort;almostSorted;300;2646;2694
mergeSort;almostSorted;300;144950;29084
quickSort;almostSorted;300;9583;5516
selectionSort;almostSorted;300;181903;136646
shellSortCiuraSequence;almostSorted;300;9633;7968
shellSortShellSequence;almostSorted;300;15513;10555
binaryInsertionSort;backwardSorted;300;42950;2096
bubbleSort;backwardSorted;300;197130;270299
bubbleSortIverson1;backwardSorted;300;1953;1805
bubbleSortIverson2;backwardSorted;300;2850;3602
countingSort;backwardSorted;300;35260;13807
heapSort;backwardSorted;300;66936;37143
insertionSort;backwardSorted;300;2576;2694
mergeSort;backwardSorted;300;147283;29084
quickSort;backwardSorted;300;8793;5516
selectionSort;backwardSorted;300;186436;136646
shellSortCiuraSequence;backwardSorted;300;14620;7968
shellSortShellSequence;backwardSorted;300;27036;10555
binaryInsertionSort;fill0To5;400;200010;66520
bubbleSort;fill0To5;400;362000;480399
bubbleSortIverson1;fill0To5;400;1743;2405
bubbleSortIverson2;fill0To5;400;4066;4802
countingSort;fill0To5;400;10160;2019
heapSort;fill0To5;400;70573;38820
insertionSort;fill0To5;400;3130;3594
mergeSort;fill0To5;400;173160;40400
quickSort;fill0To5;400;22670;9656
selectionSort;fill0To5;400;353250;242196
shellSortCiuraSequence;fill0To5;400;13446;11192
shellSortShellSequence;fill0To5;400;19930;14050
binaryInsertionSort;fill0To4000;400;56530;2876
bubbleSort;fill0To4000;400;389773;480399
bubbleSortIverson1;fill0To4000;400;1740;2405
bubbleSortIverson2;fill0To4000;400;4033;4802
countingSort;fill0To4000;400;40596;14001
heapSort;fill0To4000;400;88496;51816
insertionSort;fill0To4000;400;2753;3594
mergeSort;fill0To4000;400;175216;40400
quickSort;fill0To4000;400;12636;8036
selectionSort;fill0To4000;400;321843;242196
shellSortCiuraSequence;fill0To4000;400;13570;11192
shellSortShellSequence;fill0To4000;400;19356;14050
binaryInsertionSort;almostSorted;400;56016;2796
bubbleSort;almostSorted;400;345486;480399
bubbleSortIverson1;almostSorted;400;1970;2405
bubbleSortIverson2;almostSorted;400;3446;4802
countingSort;almostSorted;400;12106;3207
heapSort;almostSorted;400;88710;51820
insertionSort;almostSorted;400;2753;3594
mergeSort;almostSorted;400;172426;40400
quickSort;almostSorted;400;12550;7946
selectionSort;almostSorted;400;322176;242196
shellSortCiuraSequence;almostSorted;400;13570;11192
shellSortShellSequence;almostSorted;400;19983;14050
binaryInsertionSort;backwardSorted;400;62083;2796
bubbleSort;backwardSorted;400;345306;480399
bubbleSortIverson1;backwardSorted;400;1743;2405
bubbleSortIverson2;backwardSorted;400;3686;4802
countingSort;backwardSorted;400;36190;14307
heapSort;backwardSorted;400;87966;51820
insertionSort;backwardSorted;400;2746;3594
mergeSort;backwardSorted;400;173230;40400
quickSort;backwardSorted;400;12403;7946
selectionSort;backwardSorted;400;322450;242196
shellSortCiuraSequence;backwardSorted;400;13553;11192
shellSortShellSequence;backwardSorted;400;19456;14050
binaryInsertionSort;fill0To5;500;185303;103132
bubbleSort;fill0To5;500;538696;750499
bubbleSortIverson1;fill0To5;500;2163;3005
bubbleSortIverson2;fill0To5;500;4516;6002
countingSort;fill0To5;500;12123;2519
heapSort;fill0To5;500;87836;50434
insertionSort;fill0To5;500;3416;4494
mergeSort;fill0To5;500;218110;51648
quickSort;fill0To5;500;28813;11996
selectionSort;fill0To5;500;520063;377746
shellSortCiuraSequence;fill0To5;500;18563;14792
shellSortShellSequence;fill0To5;500;25870;17565
binaryInsertionSort;fill0To4000;500;84066;3608
bubbleSort;fill0To4000;500;548226;750499
bubbleSortIverson1;fill0To4000;500;2156;3005
bubbleSortIverson2;fill0To4000;500;4566;6002
countingSort;fill0To4000;500;42913;14501
heapSort;fill0To4000;500;119913;66630
insertionSort;fill0To4000;500;3683;4494
mergeSort;fill0To4000;500;222740;51648
quickSort;fill0To4000;500;15840;9834
selectionSort;fill0To4000;500;504753;377746
shellSortCiuraSequence;fill0To4000;500;17803;14792
shellSortShellSequence;fill0To4000;500;24090;17565
binaryInsertionSort;almostSorted;500;71230;3496
bubbleSort;almostSorted;500;578980;750499
bubbleSortIverson1;almostSorted;500;2536;3005
bubbleSortIverson2;almostSorted;500;4873;6002
countingSort;almostSorted;500;15936;4007
heapSort;almostSorted;500;117803;66833
insertionSort;almostSorted;500;3663;4494
mergeSort;almostSorted;500;216163;51648
quickSort;almostSorted;500;14513;9546
selectionSort;almostSorted;500;508240;377746
shellSortCiuraSequence;almostSorted;500;17803;14792
shellSortShellSequence;almostSorted;500;24100;17565
binaryInsertionSort;backwardSorted;500;82913;3496
bubbleSort;backwardSorted;500;538640;750499
bubbleSortIverson1;backwardSorted;500;2406;3005
bubbleSortIverson2;backwardSorted;500;4273;6002
countingSort;backwardSorted;500;38220;14807
heapSort;backwardSorted;500;112450;66833
insertionSort;backwardSorted;500;3426;4494
mergeSort;backwardSorted;500;215730;51648
quickSort;backwardSorted;500;14410;9546
selectionSort;backwardSorted;500;505513;377746
shellSortCiuraSequence;backwardSorted;500;17866;14792
shellSortShellSequence;backwardSorted;500;24066;17565
binaryInsertionSort;fill0To5;600;250270;148240
bubbleSort;fill0To5;600;775616;1080599
bubbleSortIverson1;fill0To5;600;2596;3605
bubbleSortIverson2;fill0To5;600;5386;7202
countingSort;fill0To5;600;14416;3019
heapSort;fill0To5;600;108316;61698
insertionSort;fill0To5;600;4110;5394
mergeSort;fill0To5;600;265786;63884
quickSort;fill0To5;600;36103;15266
selectionSort;fill0To5;600;724803;543296
shellSortCiuraSequence;fill0To5;600;27473;18392
shellSortShellSequence;fill0To5;600;33766;24059
binaryInsertionSort;fill0To4000;600;94510;4360
bubbleSort;fill0To4000;600;850976;1080599
bubbleSortIverson1;fill0To4000;600;2566;3605
bubbleSortIverson2;fill0To4000;600;5396;7202
countingSort;fill0To4000;600;46916;14995
heapSort;fill0To4000;600;140233;82144
insertionSort;fill0To4000;600;4356;5394
mergeSort;fill0To4000;600;266280;63884
quickSort;fill0To4000;600;19956;12521
selectionSort;fill0To4000;600;722623;543296
shellSortCiuraSequence;fill0To4000;600;22090;18392
shellSortShellSequence;fill0To4000;600;33186;24059
binaryInsertionSort;almostSorted;600;89500;4196
