Sort method;Array type;Amount;Time;Operations
selectionSort;backwardSorted;1000;2010690;1505496
shellSortCiuraSequence;backwardSorted;1000;39453;32792
shellSortShellSequence;backwardSorted;1000;55116;40069
binaryInsertionSort;fill0To5;1100;719590;491604
bubbleSort;fill0To5;1100;2642666;3631099
bubbleSortIverson1;fill0To5;1100;4936;6605
bubbleSortIverson2;fill0To5;1100;9743;13202
countingSort;fill0To5;1100;26240;5519
heapSort;fill0To5;1100;209156;122331
insertionSort;fill0To5;1100;7713;9894
mergeSort;fill0To5;1100;502843;125884
quickSort;fill0To5;1100;72633;28958
selectionSort;fill0To5;1100;2447460;1821046
shellSortCiuraSequence;fill0To5;1100;43726;36442
shellSortShellSequence;fill0To5;1100;68280;49563
binaryInsertionSort;fill0To4000;1100;211930;8268
bubbleSort;fill0To4000;1100;2617610;3631099
bubbleSortIverson1;fill0To4000;1100;4703;6605
bubbleSortIverson2;fill0To4000;1100;9590;13202
countingSort;fill0To4000;1100;63346;17501
heapSort;fill0To4000;1100;285360;165128
insertionSort;fill0To4000;1100;8370;9894
mergeSort;fill0To4000;1100;501450;125884
quickSort;fill0To4000;1100;40326;25001
selectionSort;fill0To4000;1100;2446680;1821046
shellSortCiuraSequence;fill0To4000;1100;43696;36442
shellSortShellSequence;fill0To4000;1100;68593;49563
binaryInsertionSort;almostSorted;1100;191030;7696
bubbleSort;almostSorted;1100;2661500;3631099
bubbleSortIverson1;almostSorted;1100;4683;6605
bubbleSortIverson2;almostSorted;1100;9693;13202
countingSort;almostSorted;1100;32803;8807
heapSort;almostSorted;1100;279416;165365
insertionSort;almostSorted;1100;7846;9894
mergeSort;almostSorted;1100;500983;125884
quickSort;almostSorted;1100;36173;23808
selectionSort;almostSorted;1100;2457083;1821046
shellSortCiuraSequence;almostSorted;1100;43573;36442
shellSortShellSequence;almostSorted;1100;68790;49563
binaryInsertionSort;backwardSorted;1100;246646;7696
bubbleSort;backwardSorted;1100;2632236;3631099
bubbleSortIverson1;backwardSorted;1100;4703;6605
bubbleSortIverson2;backwardSorted;1100;9593;13202
countingSort;backwardSorted;1100;52273;17807
heapSort;backwardSorted;1100;286403;165365
insertionSort;backwardSorted;1100;7470;9894
mergeSort;backwardSorted;1100;503293;125884
quickSort;backwardSorted;1100;36040;23808
selectionSort;backwardSorted;1100;2456746;1821046
shellSortCiuraSequence;backwardSorted;1100;50833;36442
shellSortShellSequence;backwardSorted;1100;68160;49563
binaryInsertionSort;fill0To5;1200;841326;583704
bubbleSort;fill0To5;1200;3137856;4321199
bubbleSortIverson1;fill0To5;1200;5106;7205
bubbleSortIverson2;fill0To5;1200;10423;14402
countingSort;fill0To5;1200;28640;6019
heapSort;fill0To5;1200;228113;133892
insertionSort;fill0To5;1200;8583;10794
mergeSort;fill0To5;1200;548033;139184
quickSort;fill0To5;1200;82953;32498
selectionSort;fill0To5;1200;2895200;2166596
shellSortCiuraSequence;fill0To5;1200;48546;40642
shellSortShellSequence;fill0To5;1200;73970;54063
binaryInsertionSort;fill0To4000;1200;231403;9184
bubbleSort;fill0To4000;1200;3106970;4321199
bubbleSortIverson1;fill0To4000;1200;5113;7205
bubbleSortIverson2;fill0To4000;1200;10736;14402
countingSort;fill0To4000;1200;67356;18004
heapSort;fill0To4000;1200;308266;183103
insertionSort;fill0To4000;1200;8383;10794
mergeSort;fill0To4000;1200;543090;139184
quickSort;fill0To4000;1200;45023;27908
selectionSort;fill0To4000;1200;2912790;2166596
shellSortCiuraSequence;fill0To4000;1200;48806;40642
shellSortShellSequence;fill0To4000;1200;74300;54063
binaryInsertionSort;almostSorted;1200;222193;8396
bubbleSort;almostSorted;1200;3129720;4321199
bubbleSortIverson1;almostSorted;1200;5616;7205
bubbleSortIverson2;almostSorted;1200;10456;14402
countingSort;almostSorted;1200;35780;9607
heapSort;almostSorted;1200;307293;182825
insertionSort;almostSorted;1200;8446;10794
mergeSort;almostSorted;1200;547840;139184
quickSort;almostSorted;1200;40956;26808
selectionSort;almostSorted;1200;2877546;2166596
shellSortCiuraSequence;almostSorted;1200;48546;40642
shellSortShellSequence;almostSorted;1200;74046;54063
binaryInsertionSort;backwardSorted;1200;274676;8396
bubbleSort;backwardSorted;1200;3088760;4321199
bubbleSortIverson1;backwardSorted;1200;5356;7205
bubbleSortIverson2;backwardSorted;1200;10426;14402
countingSort;backwardSorted;1200;54456;18307
heapSort;backwardSorted;1200;306243;182825
insertionSort;backwardSorted;1200;8153;10794
mergeSort;backwardSorted;1200;543980;139184
quickSort;backwardSorted;1200;40756;26808
selectionSort;backwardSorted;1200;2880220;2166596
shellSortCiuraSequence;backwardSorted;1200;48523;40642
shellSortShellSequence;backwardSorted;1200;74043;54063
binaryInsertionSort;fill0To5;1300;958410;683408
bubbleSort;fill0To5;1300;3637913;5071299
bubbleSortIverson1;fill0To5;1300;5536;7805
bubbleSortIverson2;fill0To5;1300;11276;15602
countingSort;fill0To5;1300;30933;6519
heapSort;fill0To5;1300;257770;149608
insertionSort;fill0To5;1300;14070;11694
mergeSort;fill0To5;1300;702123;152424
quickSort;fill0To5;1300;89296;38235
selectionSort;fill0To5;1300;3388826;2542146
shellSortCiuraSequence;fill0To5;1300;53436;44842
shellSortShellSequence;fill0To5;1300;80296;58563
binaryInsertionSort;fill0To4000;1300;253180;9920
bubbleSort;fill0To4000;1300;3624876;5071299
bubbleSortIverson1;fill0To4000;1300;5786;7805
bubbleSortIverson2;fill0To4000;1300;11273;15602
countingSort;fill0To4000;1300;69750;18504
heapSort;fill0To4000;1300;337600;200656
insertionSort;fill0To4000;1300;9123;11694
mergeSort;fill0To4000;1300;620123;152424
quickSort;fill0To4000;1300;50520;30728
selectionSort;fill0To4000;1300;3383343;2542146
shellSortCiuraSequence;fill0To4000;1300;53530;44842
shellSortShellSequence;fill0To4000;1300;80400;58563
binaryInsertionSort;almostSorted;1300;236526;9096
bubbleSort;almostSorted;1300;3623703;5071299
bubbleSortIverson1;almostSorted;1300;5530;7805
bubbleSortIverson2;almostSorted;1300;11413;15602
countingSort;almostSorted;1300;38403;10407
heapSort;almostSorted;1300;334663;200933
insertionSort;almostSorted;1300;9313;11694
mergeSort;almostSorted;1300;594406;152424
quickSort;almostSorted;1300;45396;29808
selectionSort;almostSorted;1300;3370456;2542146
shellSortCiuraSequence;almostSorted;1300;53416;44842
shellSortShellSequence;almostSorted;1300;80393;58563
binaryInsertionSort;backwardSorted;1300;308690;9096
bubbleSort;backwardSorted;1300;3627543;5071299
bubbleSortIverson1;backwardSorted;1300;5766;7805
bubbleSortIverson2;backwardSorted;1300;11830;15602
countingSort;backwardSorted;1300;56296;18807
heapSort;backwardSorted;1300;337226;200933
insertionSort;backwardSorted;1300;9093;11694
mergeSort;backwardSorted;1300;602413;152424
quickSort;backwardSorted;1300;45276;29808
selectionSort;backwardSorted;1300;3418756;2542146
shellSortCiuraSequence;backwardSorted;1300;53413;44842
shellSortShellSequence;backwardSorted;1300;89906;58563
binaryInsertionSort;fill0To5;1400;1113580;798528
bubbleSort;fill0To5;1400;4245556;5881399
bubbleSortIverson1;fill0To5;1400;5963;8405
bubbleSortIverson2;fill0To5;1400;12280;16802
countingSort;fill0To5;1400;33386;7019
heapSort;fill0To5;1400;282286;161498
insertionSort;fill0To5;1400;9736;12594
mergeSort;fill0To5;1400;644673;165660
quickSort;fill0To5;1400;95130;40410
selectionSort;fill0To5;1400;3934943;2947696
shellSortCiuraSequence;fill0To5;1400;58610;49042
shellSortShellSequence;fill0To5;1400;90263;63073
binaryInsertionSort;fill0To4000;1400;286456;10720
bubbleSort;fill0To4000;1400;4215693;5881399
bubbleSortIverson1;fill0To4000;1400;6206;8405
bubbleSortIverson2;fill0To4000;1400;12110;16802
countingSort;fill0To4000;1400;73893;18995
heapSort;fill0To4000;1400;368363;218456
insertionSort;fill0To4000;1400;9746;12594
mergeSort;fill0To4000;1400;635083;165660
quickSort;fill0To4000;1400;53876;33732
selectionSort;fill0To4000;1400;3911926;2947696
shellSortCiuraSequence;fill0To4000;1400;59213;49042
shellSortShellSequence;fill0To4000;1400;86973;63073
binaryInsertionSort;almostSorted;1400;259823;9796
bubbleSort;almostSorted;1400;4206006;5881399
bubbleSortIverson1;almostSorted;1400;6516;8405
bubbleSortIverson2;almostSorted;1400;12133;16802
countingSort;almostSorted;1400;41343;11207
heapSort;almostSorted;1400;364063;218445
insertionSort;almostSorted;1400;11390;12594
mergeSort;almostSorted;1400;636633;165660
quickSort;almostSorted;1400;49060;32808
selectionSort;almostSorted;1400;3930160;2947696
shellSortCiuraSequence;almostSorted;1400;60123;49042
shellSortShellSequence;almostSorted;1400;86906;63073
binaryInsertionSort;backwardSorted;1400;343680;9796
bubbleSort;backwardSorted;1400;4216426;5881399
bubbleSortIverson1;backwardSorted;1400;5963;8405
bubbleSortIverson2;backwardSorted;1400;12123;16802
countingSort;backwardSorted;1400;59866;19307
heapSort;backwardSorted;1400;365970;218445
insertionSort;backwardSorted;1400;9740;12594
mergeSort;backwardSorted;1400;641196;165660
quickSort;backwardSorted;1400;49476;32808
selectionSort;backwardSorted;1400;3936316;2947696
shellSortCiuraSequence;backwardSorted;1400;60183;49042
shellSortShellSequence;backwardSorted;1400;92593;63073
binaryInsertionSort;fill0To5;1500;1496846;909016
bubbleSort;fill0To5;1500;4863273;6751499
bubbleSortIverson1;fill0To5;1500;6383;9005
bubbleSortIverson2;fill0To5;1500;13243;18002
countingSort;fill0To5;1500;37203;7519
heapSort;fill0To5;1500;300906;176136
insertionSort;fill0To5;1500;10416;13494
mergeSort;fill0To5;1500;691686;178840
quickSort;fill0To5;1500;159220;43813
selectionSort;fill0To5;1500;4647496;3383246
shellSortCiuraSequence;fill0To5;1500;64463;53242
shellSortShellSequence;fill0To5;1500;92450;67578
binaryInsertionSort;fill0To4000;1500;308336;11708
bubbleSort;fill0To4000;1500;4819700;6751499
bubbleSortIverson1;fill0To4000;1500;6626;9005
bubbleSortIverson2;fill0To4000;1500;12946;18002
countingSort;fill0To4000;1500;77750;19498
heapSort;fill0To4000;1500;398100;235983
insertionSort;fill0To4000;1500;10623;13494
mergeSort;fill0To4000;1500;686573;178840
quickSort;fill0To4000;1500;58626;36416
selectionSort;fill0To4000;1500;4497713;3383246
shellSortCiuraSequence;fill0To4000;1500;63186;53242
shellSortShellSequence;fill0To4000;1500;92710;67578
binaryInsertionSort;almostSorted;1500;285040;10496
bubbleSort;almostSorted;1500;4823113;6751499
bubbleSortIverson1;almostSorted;1500;9876;9005
bubbleSortIverson2;almostSorted;1500;19950;18002
countingSort;almostSorted;1500;65553;12007
heapSort;almostSorted;1500;433470;236356
insertionSort;almostSorted;1500;10403;13494
mergeSort;almostSorted;1500;688386;178840
quickSort;almostSorted;1500;53760;35808
selectionSort;almostSorted;1500;4527860;3383246
shellSortCiuraSequence;almostSorted;1500;63703;53242
shellSortShellSequence;almostSorted;1500;93716;67578
binaryInsertionSort;backwardSorted;1500;380123;10496
bubbleSort;backwardSorted;1500;4839810;6751499
bubbleSortIverson1;backwardSorted;1500;6606;9005
bubbleSortIverson2;backwardSorted;1500;12960;18002
countingSort;backwardSorted;1500;61166;19807
heapSort;backwardSorted;1500;395903;236356
insertionSort;backwardSorted;1500;10426;13494
mergeSort;backwardSorted;1500;695303;178840
quickSort;backwardSorted;1500;53903;35808
selectionSort;backwardSorted;1500;4490430;3383246
shellSortCiuraSequence;backwardSorted;1500;63516;53242
shellSortShellSequence;backwardSorted;1500;93193;67578
binaryInsertionSort;fill0To5;1600;1394206;1034120
bubbleSort;fill0To5;1600;5486416;7681599
bubbleSortIverson1;fill0To5;1600;6806;9605
bubbleSortIverson2;fill0To5;1600;13936;19202
countingSort;fill0To5;1600;37906;8019
heapSort;fill0To5;1600;322013;188696
insertionSort;fill0To5;1600;11163;14394
mergeSort;fill0To5;1600;740346;192048
quickSort;fill0To5;1600;108726;46310
selectionSort;fill0To5;1600;5122283;3848796
shellSortCiuraSequence;fill0To5;1600;68766;57442
shellSortShellSequence;fill0To5;1600;100050;72058
binaryInsertionSort;fill0To4000;1600;354513;12516
bubbleSort;fill0To4000;1600;5544796;7681599
bubbleSortIverson1;fill0To4000;1600;7050;9605
bubbleSortIverson2;fill0To4000;1600;32093;19202
countingSort;fill0To4000;1600;81373;20004
heapSort;fill0To4000;1600;429556;253793
insertionSort;fill0To4000;1600;11283;14394
mergeSort;fill0To4000;1600;740863;192048
quickSort;fill0To4000;1600;62950;38910
selectionSort;fill0To4000;1600;5143980;3848796
shellSortCiuraSequence;fill0To4000;1600;105776;57442
shellSortShellSequence;fill0To4000;1600;126293;72058
binaryInsertionSort;almostSorted;1600;309690;11196
bubbleSort;almostSorted;1600;5517970;7681599
bubbleSortIverson1;almostSorted;1600;6803;9605
bubbleSortIverson2;almostSorted;1600;14470;19202
countingSort;almostSorted;1600;48700;12807
heapSort;almostSorted;1600;424940;253286
insertionSort;almostSorted;1600;11100;14394
mergeSort;almostSorted;1600;741666;192048
quickSort;almostSorted;1600;57760;38158
selectionSort;almostSorted;1600;5122253;3848796
shellSortCiuraSequence;almostSorted;1600;68870;57442
shellSortShellSequence;almostSorted;1600;98906;72058
binaryInsertionSort;backwardSorted;1600;419176;11196
bubbleSort;backwardSorted;1600;5520690;7681599
bubbleSortIverson1;backwardSorted;1600;7176;9605
bubbleSortIverson2;backwardSorted;1600;13786;19202
countingSort;backwardSorted;1600;63480;20307
heapSort;backwardSorted;1600;425656;253286
insertionSort;backwardSorted;1600;11296;14394
mergeSort;backwardSorted;1600;742170;192048
quickSort;backwardSorted;1600;57573;38158
selectionSort;backwardSorted;1600;5117800;3848796
shellSortCiuraSequence;backwardSorted;1600;68513;57442
shellSortShellSequence;backwardSorted;1600;98550;72058
binaryInsertionSort;fill0To5;1700;1555520;1167464
bubbleSort;fill0To5;1700;6227160;8671699
bubbleSortIverson1;fill0To5;1700;7606;10205
bubbleSortIverson2;fill0To5;1700;14636;20402
countingSort;fill0To5;1700;40560;8519
heapSort;fill0To5;1700;358546;206326
insertionSort;fill0To5;1700;11803;15294
mergeSort;fill0To5;1700;805490;205268
quickSort;fill0To5;1700;118133;49223
selectionSort;fill0To5;1700;5948926;4344346
shellSortCiuraSequence;fill0To5;1700;73776;61642
shellSortShellSequence;fill0To5;1700;105236;76568
binaryInsertionSort;fill0To4000;1700;367680;13256
bubbleSort;fill0To4000;1700;6213470;8671699
bubbleSortIverson1;fill0To4000;1700;7486;10205
bubbleSortIverson2;fill0To4000;1700;14836;20402
countingSort;fill0To4000;1700;85100;20495
heapSort;fill0To4000;1700;457323;271064
insertionSort;fill0To4000;1700;12036;15294
mergeSort;fill0To4000;1700;794220;205268
quickSort;fill0To4000;1700;66696;41480
selectionSort;fill0To4000;1700;5760333;4344346
shellSortCiuraSequence;fill0To4000;1700;73400;61642
shellSortShellSequence;fill0To4000;1700;104840;76568
binaryInsertionSort;almostSorted;1700;335043;11896
bubbleSort;almostSorted;1700;6200253;8671699
bubbleSortIverson1;almostSorted;1700;7236;10205
bubbleSortIverson2;almostSorted;1700;15026;20402
countingSort;almostSorted;1700;50693;13607
heapSort;almostSorted;1700;462543;271995
insertionSort;almostSorted;1700;12273;15294
mergeSort;almostSorted;1700;784096;205268
quickSort;almostSorted;1700;59540;40158
selectionSort;almostSorted;1700;5758940;4344346
shellSortCiuraSequence;almostSorted;1700;73500;61642
shellSortShellSequence;almostSorted;1700;104633;76568
binaryInsertionSort;backwardSorted;1700;456476;11896
bubbleSort;backwardSorted;1700;6193890;8671699
bubbleSortIverson1;backwardSorted;1700;7470;10205
bubbleSortIverson2;backwardSorted;1700;14766;20402
countingSort;backwardSorted;1700;66280;20807
heapSort;backwardSorted;1700;454913;271995
insertionSort;backwardSorted;1700;11743;15294
mergeSort;backwardSorted;1700;784603;205268
quickSort;backwardSorted;1700;59726;40158
selectionSort;backwardSorted;1700;5784180;4344346
shellSortCiuraSequence;backwardSorted;1700;73866;61642
shellSortShellSequence;backwardSorted;1700;105100;76568
binaryInsertionSort;fill0To5;1800;1733803;1307164
bubbleSort;fill0To5;1800;6964826;9721799
bubbleSortIverson1;fill0To5;1800;8030;10805
bubbleSortIverson2;fill0To5;1800;15863;21602
countingSort;fill0To5;1800;43073;9019
heapSort;fill0To5;1800;380723;216072
insertionSort;fill0To5;1800;13210;16194
mergeSort;fill0To5;1800;841726;218396
quickSort;fill0To5;1800;122030;51445
selectionSort;fill0To5;1800;6497240;4869896
shellSortCiuraSequence;fill0To5;1800;78420;65842
shellSortShellSequence;fill0To5;1800;110900;81063
binaryInsertionSort;fill0To4000;1800;394706;14196
bubbleSort;fill0To4000;1800;6941013;9721799
bubbleSortIverson1;fill0To4000;1800;7646;10805
bubbleSortIverson2;fill0To4000;1800;15656;21602
countingSort;fill0To4000;1800;89476;20962
heapSort;fill0To4000;1800;486376;289496
insertionSort;fill0To4000;1800;12470;16194
mergeSort;fill0To4000;1800;829210;218396
quickSort;fill0To4000;1800;71533;44145
selectionSort;fill0To4000;1800;6459070;4869896
shellSortCiuraSequence;fill0To4000;1800;78360;65842
shellSortShellSequence;fill0To4000;1800;111710;81063
binaryInsertionSort;almostSorted;1800;358813;12596
bubbleSort;almostSorted;1800;6942240;9721799
bubbleSortIverson1;almostSorted;1800;7903;10805
bubbleSortIverson2;almostSorted;1800;15503;21602
countingSort;almostSorted;1800;53096;14407
heapSort;almostSorted;1800;482076;289753
insertionSort;almostSorted;1800;12480;16194
mergeSort;almostSorted;1800;830256;218396
quickSort;almostSorted;1800;62526;42158
selectionSort;almostSorted;1800;6529336;4869896
shellSortCiuraSequence;almostSorted;1800;78750;65842
shellSortShellSequence;almostSorted;1800;111173;81063
binaryInsertionSort;backwardSorted;1800;499593;12596
bubbleSort;backwardSorted;1800;7011810;9721799
bubbleSortIverson1;backwardSorted;1800;7896;10805
bubbleSortIverson2;backwardSorted;1800;15616;21602
countingSort;backwardSorted;1800;69156;21307
heapSort;backwardSorted;1800;484963;289753
insertionSort;backwardSorted;1800;12463;16194
mergeSort;backwardSorted;1800;827423;218396
quickSort;backwardSorted;1800;62456;42158
selectionSort;backwardSorted;1800;6632593;4869896
shellSortCiuraSequence;backwardSorted;1800;78770;65842
shellSortShellSequence;backwardSorted;1800;111133;81063
binaryInsertionSort;fill0To5;1900;1923053;1456976
bubbleSort;fill0To5;1900;7754356;10831899
bubbleSortIverson1;fill0To5;1900;8333;11405
bubbleSortIverson2;fill0To5;1900;16476;22802
countingSort;fill0To5;1900;45413;9519
heapSort;fill0To5;1900;390633;231471
insertionSort;fill0To5;1900;13123;17094
mergeSort;fill0To5;1900;882370;231560
quickSort;fill0To5;1900;135140;54771
selectionSort;fill0To5;1900;7232410;5425446
shellSortCiuraSequence;fill0To5;1900;83490;70042
shellSortShellSequence;fill0To5;1900;117863;85578
binaryInsertionSort;fill0To4000;1900;426280;15172
bubbleSort;fill0To4000;1900;7733523;10831899
bubbleSortIverson1;fill0To4000;1900;8303;11405
bubbleSortIverson2;fill0To4000;1900;16340;22802
countingSort;fill0To4000;1900;93923;21504
heapSort;fill0To4000;1900;515786;307263
insertionSort;fill0To4000;1900;13136;17094
mergeSort;fill0To4000;1900;889363;231560
quickSort;fill0To4000;1900;76020;46921
selectionSort;fill0To4000;1900;7228866;5425446
shellSortCiuraSequence;fill0To4000;1900;84030;70042
shellSortShellSequence;fill0To4000;1900;117520;85578
binaryInsertionSort;almostSorted;1900;389680;13296
bubbleSort;almostSorted;1900;7760503;10831899
bubbleSortIverson1;almostSorted;1900;8680;11405
bubbleSortIverson2;almostSorted;1900;16476;22802
countingSort;almostSorted;1900;58786;15207
heapSort;almostSorted;1900;524136;307783
insertionSort;almostSorted;1900;13416;17094
mergeSort;almostSorted;1900;1073873;231560
quickSort;almostSorted;1900;66696;44158
selectionSort;almostSorted;1900;7533346;5425446
shellSortCiuraSequence;almostSorted;1900;83620;70042
shellSortShellSequence;almostSorted;1900;119320;85578
binaryInsertionSort;backwardSorted;1900;544866;13296
bubbleSort;backwardSorted;1900;7776016;10831899
bubbleSortIverson1;backwardSorted;1900;8350;11405
bubbleSortIverson2;backwardSorted;1900;16486;22802
countingSort;backwardSorted;1900;70700;21807
heapSort;backwardSorted;1900;512236;307783
insertionSort;backwardSorted;1900;13673;17094
mergeSort;backwardSorted;1900;875580;231560
quickSort;backwardSorted;1900;64723;44158
selectionSort;backwardSorted;1900;7194690;5425446
shellSortCiuraSequence;backwardSorted;1900;83686;70042
shellSortShellSequence;backwardSorted;1900;117170;85578
binaryInsertionSort;fill0To5;2000;2095370;1610372
bubbleSort;fill0To5;2000;8586566;12001999
bubbleSortIverson1;fill0To5;2000;8736;12005
bubbleSortIverson2;fill0To5;2000;17313;24002
countingSort;fill0To5;2000;47200;10019
heapSort;fill0To5;2000;413600;243310
insertionSort;fill0To5;2000;14223;17994
mergeSort;fill0To5;2000;922900;244640
quickSort;fill0To5;2000;142266;58555
selectionSort;fill0To5;2000;7980633;6010996
shellSortCiuraSequence;fill0To5;2000;88573;74242
shellSortShellSequence;fill0To5;2000;123286;90073
binaryInsertionSort;fill0To4000;2000;456676;15988
bubbleSort;fill0To4000;2000;8848303;12001999
bubbleSortIverson1;fill0To4000;2000;8753;12005
bubbleSortIverson2;fill0To4000;2000;17310;24002
countingSort;fill0To4000;2000;97716;21998
heapSort;fill0To4000;2000;546853;325556
insertionSort;fill0To4000;2000;13946;17994
mergeSort;fill0To4000;2000;924296;244640
quickSort;fill0To4000;2000;80753;49423
selectionSort;fill0To4000;2000;7979620;6010996
shellSortCiuraSequence;fill0To4000;2000;88693;74242
shellSortShellSequence;fill0To4000;2000;143743;90073
binaryInsertionSort;almostSorted;2000;410820;13996
bubbleSort;almostSorted;2000;8598476;12001999
bubbleSortIverson1;almostSorted;2000;8750;12005
bubbleSortIverson2;almostSorted;2000;17333;24002
countingSort;almostSorted;2000;59096;16007
heapSort;almostSorted;2000;540083;323769
insertionSort;almostSorted;2000;13803;17994
mergeSort;almostSorted;2000;923173;244640
quickSort;almostSorted;2000;67580;46158
selectionSort;almostSorted;2000;7977730;6010996
shellSortCiuraSequence;almostSorted;2000;88813;74242
shellSortShellSequence;almostSorted;2000;124483;90073
binaryInsertionSort;backwardSorted;2000;581533;13996
bubbleSort;backwardSorted;2000;8564463;12001999
bubbleSortIverson1;backwardSorted;2000;8490;12005
bubbleSortIverson2;backwardSorted;2000;17316;24002
countingSort;backwardSorted;2000;72556;22307
heapSort;backwardSorted;2000;539970;323769
insertionSort;backwardSorted;2000;13803;17994
mergeSort;backwardSorted;2000;925043;244640
quickSort;backwardSorted;2000;67436;46158
selectionSort;backwardSorted;2000;8004490;6010996
shellSortCiuraSequence;backwardSorted;2000;89126;74242
shellSortShellSequence;backwardSorted;2000;123403;90073
binaryInsertionSort;fill0To5;2100;2298643;1780332
bubbleSort;fill0To5;2100;9443636;13232099
bubbleSortIverson1;fill0To5;2100;9173;12605
bubbleSortIverson2;fill0To5;2100;18560;25202
countingSort;fill0To5;2100;49863;10519
heapSort;fill0To5;2100;439066;256962
insertionSort;fill0To5;2100;14456;18894
mergeSort;fill0To5;2100;972616;258368
quickSort;fill0To5;2100;161923;60480
selectionSort;fill0To5;2100;8783846;6626546
shellSortCiuraSequence;fill0To5;2100;97933;78442
shellSortShellSequence;fill0To5;2100;144686;105067
binaryInsertionSort;fill0To4000;2100;485186;16748
bubbleSort;fill0To4000;2100;9442050;13232099
bubbleSortIverson1;fill0To4000;2100;9246;12605
bubbleSortIverson2;fill0To4000;2100;18116;25202
countingSort;fill0To4000;2100;103243;22495
heapSort;fill0To4000;2100;583303;343736
insertionSort;fill0To4000;2100;14420;18894
mergeSort;fill0To4000;2100;974433;258368
quickSort;fill0To4000;2100;88503;52343
selectionSort;fill0To4000;2100;8790406;6626546
shellSortCiuraSequence;fill0To4000;2100;93606;78442
shellSortShellSequence;fill0To4000;2100;144556;105067
binaryInsertionSort;almostSorted;2100;436830;14696
bubbleSort;almostSorted;2100;9489536;13232099
bubbleSortIverson1;almostSorted;2100;9163;12605
bubbleSortIverson2;almostSorted;2100;18176;25202
countingSort;almostSorted;2100;63150;16807
heapSort;almostSorted;2100;575786;344236
insertionSort;almostSorted;2100;15706;18894
mergeSort;almostSorted;2100;968650;258368
quickSort;almostSorted;2100;92176;48794
selectionSort;almostSorted;2100;8861513;6626546
shellSortCiuraSequence;almostSorted;2100;93946;78442
shellSortShellSequence;almostSorted;2100;144076;105067
binaryInsertionSort;backwardSorted;2100;626986;14696
bubbleSort;backwardSorted;2100;9472316;13232099
bubbleSortIverson1;backwardSorted;2100;9150;12605
bubbleSortIverson2;backwardSorted;2100;18166;25202
countingSort;backwardSorted;2100;84056;22807
heapSort;backwardSorted;2100;579660;344236
insertionSort;backwardSorted;2100;14490;18894
mergeSort;backwardSorted;2100;971160;258368
quickSort;backwardSorted;2100;72846;48794
selectionSort;backwardSorted;2100;8833203;6626546
shellSortCiuraSequence;backwardSorted;2100;93713;78442
shellSortShellSequence;backwardSorted;2100;144406;105067
binaryInsertionSort;fill0To5;2200;2498240;1948748
bubbleSort;fill0To5;2200;10363203;14522199
bubbleSortIverson1;fill0To5;2200;9596;13205
bubbleSortIverson2;fill0To5;2200;19053;26402
countingSort;fill0To5;2200;51863;11019
heapSort;fill0To5;2200;451840;268003
insertionSort;fill0To5;2200;15183;19794
mergeSort;fill0To5;2200;1279143;272684
quickSort;fill0To5;2200;154370;63409
selectionSort;fill0To5;2200;9657720;7272096
shellSortCiuraSequence;fill0To5;2200;99123;82642
shellSortShellSequence;fill0To5;2200;152580;110067
binaryInsertionSort;fill0To4000;2200;521970;17892
bubbleSort;fill0To4000;2200;10367170;14522199
bubbleSortIverson1;fill0To4000;2200;9560;13205
bubbleSortIverson2;fill0To4000;2200;18843;26402
countingSort;fill0To4000;2200;105080;23004
heapSort;fill0To4000;2200;608563;362675
insertionSort;fill0To4000;2200;15250;19794
mergeSort;fill0To4000;2200;1123293;272684
quickSort;fill0To4000;2200;150836;55913
selectionSort;fill0To4000;2200;9767556;7272096
shellSortCiuraSequence;fill0To4000;2200;100423;82642
shellSortShellSequence;fill0To4000;2200;152583;110067
binaryInsertionSort;almostSorted;2200;467560;15396
bubbleSort;almostSorted;2200;10418186;14522199
bubbleSortIverson1;almostSorted;2200;9750;13205
bubbleSortIverson2;almostSorted;2200;19006;26402
countingSort;almostSorted;2200;65450;17607
heapSort;almostSorted;2200;610183;363411
insertionSort;almostSorted;2200;15343;19794
mergeSort;almostSorted;2200;1044063;272684
quickSort;almostSorted;2200;77830;51994
selectionSort;almostSorted;2200;9689066;7272096
shellSortCiuraSequence;almostSorted;2200;100093;82642
shellSortShellSequence;almostSorted;2200;152780;110067
binaryInsertionSort;backwardSorted;2200;678283;15396
bubbleSort;backwardSorted;2200;10421073;14522199
bubbleSortIverson1;backwardSorted;2200;10320;13205
bubbleSortIverson2;backwardSorted;2200;18876;26402
countingSort;backwardSorted;2200;77430;23307
heapSort;backwardSorted;2200;603506;363411
insertionSort;backwardSorted;2200;15296;19794
mergeSort;backwardSorted;2200;1020733;272684
quickSort;backwardSorted;2200;77560;51994
selectionSort;backwardSorted;2200;9650073;7272096
shellSortCiuraSequence;backwardSorted;2200;98620;82642
shellSortShellSequence;backwardSorted;2200;151106;110067
binaryInsertionSort;fill0To5;2300;2722190;2133536
bubbleSort;fill0To5;2300;11378693;15872299
bubbleSortIverson1;fill0To5;2300;10123;13805
bubbleSortIverson2;fill0To5;2300;19880;27602
countingSort;fill0To5;2300;67606;11519
heapSort;fill0To5;2300;484483;285238
insertionSort;fill0To5;2300;15866;20694
mergeSort;fill0To5;2300;1065160;286912
quickSort;fill0To5;2300;159693;66139
selectionSort;fill0To5;2300;10547566;7947646
